	0
24dab	59
ala	199
anthranilate	13
arg	54
asn	100
asp	93
asp-gamma	10
beta-ala	29
cys	101
dap	14
dhba	19
dpg	24
fa	26
gln	74
glu	48
gly	216
his	19
horn	47
hpg	76
hse	13
hty	11
ile	118
ketoval	12
leu	165
lys	52
nd-horn	10
orn	61
paba 0
phe	115
pipecolate	14
piz	36
pro	130
salicylate	12
ser	247
thr	289
trp	71
tyr	135
val	207
